Id. Biblioth�que actuelle;ppn;ID Localisation;Desc Cote Principale;count
LASH;01034974X;SL1;034 QSJ 101;0
LASH;117316520;SL1;034 QSJ 1031;0
LASH;006051022;SL1;034 QSJ 1043;0
LASH;009051910;SL1;034 QSJ 1044;0
LASH;009051805;SL1;034 QSJ 1033;0
LASH;011816694;SL1;034 QSJ 1040;0
LASH;009051821;SL1;034 QSJ 1038;0
LASH;009051910;SL1;034 QSJ 1044;0
LASH;006044387;SL1;034 QSJ 1039;0
LASH;006051022;SL1;034 QSJ 1043;0
LASH;024832979;SL1;034 QSJ 1032;0
LASH;009051929;SL1;034 QSJ 1046;0
LASH;003052125;SL1;034 QSJ 1044;0
LASH;004587545;SL1;034 QSJ 1036;0
LASH;008039089;SL1;034 QSJ 1041;0
LASH;009394885;SL1;034 QSJ 1036;0
LASH;001440632;SL1;034 QSJ 1044;0
LASH;006044387;SL1;034 QSJ 1039;0
LASH;000244839;SL1;034 QSJ 1044;0
LASH;007321279;SL1;034 QSJ 1053;0
LASH;024895318;SL1;034 QSJ 1048;0
LASH;003694550;SL1;034 QSJ 1059;0
LASH;003322904;SL1;034 QSJ 1049;0
LASH;000810932;SL1;034 QSJ 1050;0
LASH;114649448;SL1;034 QSJ 1056;0
LASH;009051929;SL1;034 QSJ 1046;0
LASH;009051961;SL1;034 QSJ 1057;0
LASH;055151701;SL1;034 QSJ 1060;0
LASH;013139843;SL1;034 QSJ 1049;0
LASH;114649448;SL1;034 QSJ 1056;0
LASH;000810932;SL1;034 QSJ 1050;0
LASH;007318308;SL1;034 QSJ 1058;0
LASH;007321309;SL1;034 QSJ 1051;0
LASH;003694550;SL1;034 QSJ 1059;0
LASH;007321309;SL1;034 QSJ 1051;0
LASH;003085252;SL1;034 QSJ 1067;0
LASH;011428473;SL1;034 QSJ 1070;0
LASH;011168765;SL1;034 QSJ 1067;0
LASH;011168765;SL1;034 QSJ 1067;0
LASH;083893881;SL1;034 QSJ 107;0
LASH;009288872;SL1;034 QSJ 1072;0
